binomial,legend,SHAPE_Leng,SHAPE_Area
Bolitoglossa capitana,Presence Uncertain,0.101713988006,0.000823257164538
Atelopus sernai,Presence Uncertain,0.101933278005,0.00082681078926
Atelopus eusebianus,Presence Uncertain,0.101547536619,0.000820564703054
Gastrotheca christiani,Presence Uncertain,0.115731087563,0.00106580109941
