binomial,legend,SHAPE_Leng,SHAPE_Area
Telmatobius atacamensis,Extinct,0.147414001424,0.00172924520898
Atelognathus patagonicus,Extinct,0.250335589135,0.00211589849622
Rhaebo olallai,Extinct,0.227151080712,0.00408191852023
Atelopus ardila,Extinct,0.165534063687,0.00138969585514
