TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,352198,352198,1,Estação Ecológica Do Grão Pará,Estação Ecológica Do Grão Pará,Estação Ecológica,Ecological Station,National,Ia,Not Applicable,0,0,0,42035.6341544,42320.7292223429,Not Applicable,0,Designated,2006,Sub-national ministry or agency,Not Reported,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará,Not Reported,State Verified,1802,BR-RR,BRA,BRA
Polygon,478421,478421,1,Reserva Extrativista Ituxí,Reserva Extrativista Ituxí,Reserva Extrativista,Extractive Reserve,National,VI,Not Applicable,0,0,0,7763.23479891,7813.26102480147,Not Applicable,0,Designated,2008,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conservação da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA
Polygon,478473,478473,1,Apa Do Morro Da Saudade,Apa Do Morro Da Saudade,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,0,0.594634319463,0.597418411496129,Not Applicable,0,Designated,1992,Sub-national ministry or agency,Not Reported,Secretaria Municipal de Meio Ambiente do Rio de Janeiro - RJ,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,555576258,555576258,1,Monumento Natural Estadual Serra Do Gambá,Monumento Natural Estadual Serra Do Gambá,Monumento Natural,Natural Monument,National,Not Reported,Not Applicable,0,0,0,4.42468994281,4.4471087182423,Not Applicable,0,Designated,2010,Sub-national ministry or agency,Not Reported,Instituto Estadual de Florestas de Minas Gerais,Not Reported,State Verified,1802,BR-MG,BRA,BRA
Polygon,351861,351861,1,Área De Proteção Ambiental Dunas E Veredas Do Baixo Médio São Francisco,Área De Proteção Ambiental Dunas E Veredas Do Baixo Médio São Francisco,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,0,10248.5729328,10313.1675825726,Not Applicable,0,Designated,1997,Sub-national ministry or agency,Not Reported,Secretaria do Meio Ambiente da Bahia,Not Reported,State Verified,1802,BR-BA,BRA,BRA
Polygon,555576259,555576259,1,Área De Proteção Ambiental Da Pedra Lisa,Área De Proteção Ambiental Da Pedra Lisa,Área de Proteção Ambiental,Environmental Protection Area,National,Not Reported,Not Applicable,0,0,0,21.7763227626,21.8793095912353,Not Applicable,0,Designated,2009,Sub-national ministry or agency,Not Reported,Secretaria Municipal do Ambiente e Desenvolvimento Sustentável de Japeri - RJ,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,555576268,555576268,1,Reserva Particular Do Patrimônio Natural Quero-Quero,Reserva Particular Do Patrimônio Natural Quero-Quero,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,0,0,0,0.163647064228,0.164425336402969,Not Applicable,0,Designated,2008,Sub-national ministry or agency,Not Reported,Instituto Estadual do Ambiente do Rio de Janeiro,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,555576269,555576269,1,Apa Planalto Do Turvo,Apa Planalto Do Turvo,Área de Proteção Ambiental,Environmental Protection Area,National,Not Reported,Not Applicable,0,0,0,27.1909067239,27.3089317660579,Not Applicable,0,Designated,2008,Sub-national ministry or agency,Not Reported,Fundação para Conservação e a Produção Florestal do Estado de São Paulo,Not Reported,State Verified,1802,BR-SP,BRA,BRA
Polygon,478463,478463,1,Apa Dos Morros Da Babilônia E De São João,Apa Dos Morros Da Babilônia E De São João,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,0,1.12660209313,1.13187766489268,Not Applicable,0,Designated,1996,Sub-national ministry or agency,Not Reported,Secretaria Municipal de Meio Ambiente do Rio de Janeiro - RJ,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,555576307,555576307,1,Reserva Particular Do Patrimônio Natural Santa Clara,Reserva Particular Do Patrimônio Natural Santa Clara,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,0,0,0.212290792790519,0.211285863447,0.212290792790519,Not Applicable,0,Designated,2013,Sub-national ministry or agency,Not Reported,Instituto Estadual do Ambiente do Rio de Janeiro,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,555576308,555576308,1,Reserva Particular Do Patrimônio Natural Soledade,Reserva Particular Do Patrimônio Natural Soledade,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,0,0,0.0635596394306448,0.0632557307647,0.0635596394306448,Not Applicable,0,Designated,2008,Sub-national ministry or agency,Not Reported,Instituto Estadual do Ambiente do Rio de Janeiro,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,555576253,555576253,1,Parque Estadual Zé Bolo Flô,Parque Estadual Zé Bolo Flô,Parque,Park,National,Not Reported,Not Applicable,0,0,0.519817346799376,0.516843402378,0.519817346799376,Not Applicable,0,Designated,2000,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Meio Ambiente de Mato Grosso,Not Reported,State Verified,1802,BR-MT,BRA,BRA
Polygon,555576278,555576278,1,Parque Natural Municipal Dos Jatobás,Parque Natural Municipal Dos Jatobás,Parque,Park,National,Not Reported,Not Applicable,0,0,0,1.07290126855,1.07792379316129,Not Applicable,0,Designated,2011,Sub-national ministry or agency,Not Reported,Secretaria Municipal de Meio Ambiente - Prefeitura Municipal de Campinas,Not Reported,State Verified,1802,BR-SP,BRA,BRA
Polygon,555576280,555576280,1,Parque Natural Municipal Freymund Germer,Parque Natural Municipal Freymund Germer,Parque,Park,National,Not Reported,Not Applicable,0,0,0,0.366050156833,0.367515301618095,Not Applicable,0,Designated,2011,Sub-national ministry or agency,Not Reported,Prefeitura Municipal de Timbó - SC,Not Reported,State Verified,1802,BR-SC,BRA,BRA
Polygon,478536,478536,1,Área De Proteção Ambiental Do Arquipélago Do Marajó,Área De Proteção Ambiental Do Arquipélago Do Marajó,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,2,0,1862.62662736182,45247.791625,45552.1940900161,Not Reported,0,Designated,1989,Sub-national ministry or agency,Not Reported,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará,Not Reported,State Verified,1802,BR-PA,BRA,BRA
Polygon,478465,478465,1,Apa Das Brisas,Apa Das Brisas,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,0,1.01892884052,1.02369376054374,Not Applicable,0,Designated,1992,Sub-national ministry or agency,Not Reported,Secretaria Municipal de Meio Ambiente do Rio de Janeiro - RJ,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,478574,478574,1,Reserva Biológica Do Rio Descoberto,Reserva Biológica Do Rio Descoberto,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,0,0,4.36567401059262,4.34075619398,4.36567401059262,Not Applicable,0,Designated,2005,Sub-national ministry or agency,Not Reported,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental,Not Reported,State Verified,1802,BR-DF,BRA,BRA
Polygon,351954,351954,1,Floresta Estadual De Assis,Floresta Estadual De Assis,Floresta,Forest,National,VI,Not Applicable,0,0,0,27.0902323426,27.2191787776471,Not Applicable,0,Designated,2002,Sub-national ministry or agency,Not Reported,Instituto Florestal da Secretaria do Meio Ambiente do Estado de São Paulo - SP,Not Reported,State Verified,1802,BR-SP,BRA,BRA
Polygon,555576286,555576286,1,Reserva Particular Do Patrimônio Natural Douradinho,Reserva Particular Do Patrimônio Natural Douradinho,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,0,0,0,9.78848084889,9.83653834082163,Not Applicable,0,Designated,2003,Sub-national ministry or agency,Not Reported,Instituto de Meio Ambiente do Mato Grosso do Sul,Not Reported,State Verified,1802,BR-MS,BRA,BRA
Polygon,555576283,555576283,1,Reserva Extrativista Canutama,Reserva Extrativista Canutama,Reserva Extrativista,Extractive Reserve,National,Not Reported,Not Applicable,0,0,0,1979.86496023,1992.39279270202,Not Applicable,0,Designated,2009,Sub-national ministry or agency,Not Reported,Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA
Polygon,352200,352200,1,Floresta Estadual Do Paru,Floresta Estadual Do Paru,Floresta,Forest,National,VI,Not Applicable,0,0,0,36101.3929696,36343.299557453,Not Applicable,0,Designated,2006,Sub-national ministry or agency,Not Reported,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará,Not Reported,State Verified,1802,BR-AP,BRA,BRA
Polygon,555576287,555576287,1,Parque Natural Municipal Do Intelecto,Parque Natural Municipal Do Intelecto,Parque,Park,National,Not Reported,Not Applicable,0,0,0,0.351347477932,0.353179234402023,Not Applicable,0,Designated,1991,Sub-national ministry or agency,Not Reported,Prefeitura Municipal de Itabira - MG,Not Reported,State Verified,1802,BR-MG,BRA,BRA
Polygon,352140,352140,1,Reserva De Desenvolvimento Sustentável Do Uatumã,Reserva De Desenvolvimento Sustentável Do Uatumã,Reserva de Desenvolvimento Sustentável,Sustainable Development Reserve,National,VI,Not Applicable,0,0,0,4234.63001891,4262.99907109736,Not Applicable,0,Designated,2004,Sub-national ministry or agency,Not Reported,Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA
Polygon,478525,478525,1,Área De Proteção Ambiental Do Lago De Tucurui,Área De Proteção Ambiental Do Lago De Tucurui,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,0,5682.02259056,5720.39815287943,Not Applicable,0,Designated,2002,Sub-national ministry or agency,Not Reported,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará,Not Reported,State Verified,1802,BR-PA,BRA,BRA
Polygon,555576293,555576293,1,Apa Quilombos Do Médio Ribeira,Apa Quilombos Do Médio Ribeira,Área de Proteção Ambiental,Environmental Protection Area,National,Not Reported,Not Applicable,0,0,0,647.389336564,650.242048744927,Not Applicable,0,Designated,2008,Sub-national ministry or agency,Not Reported,Fundação para Conservação e a Produção Florestal do Estado de São Paulo,Not Reported,State Verified,1802,BR-SP,BRA,BRA
Polygon,555576295,555576295,1,Reserva Particular Do Patrimônio Natural Fazenda Nhumirim,Reserva Particular Do Patrimônio Natural Fazenda Nhumirim,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,0,0,0,6.71299336832,6.74861163006955,Not Applicable,0,Designated,1999,Sub-national ministry or agency,Not Reported,Instituto de Meio Ambiente do Mato Grosso do Sul,Not Reported,State Verified,1802,BR-MS,BRA,BRA
Polygon,555576257,555576257,1,Área De Relevante Interesse Ecológico Do Degredo,Área De Relevante Interesse Ecológico Do Degredo,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,Not Reported,Not Applicable,2,0,23.6935395129167,23.5704158747,23.6935398287765,Not Reported,0,Designated,2002,Sub-national ministry or agency,Not Reported,Secretaria Municipal de Meio Ambiente e Recursos Hidricos Naturais de Linhares - ES,Not Reported,State Verified,1802,BR-ES,BRA,BRA
Polygon,478477,478477,1,Apa Da Prainha,Apa Da Prainha,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,0.390107928030194,1.5746801869,1.58203318385602,Not Applicable,0,Designated,1990,Sub-national ministry or agency,Not Reported,Secretaria Municipal de Meio Ambiente do Rio de Janeiro - RJ,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,33613,33613,1,Parque Estadual De Corumbiara,Parque Estadual De Corumbiara,Parque,Park,National,II,Not Applicable,0,0,0,4299.05683279,4325.02287533765,Not Applicable,0,Designated,1990,Sub-national ministry or agency,Not Reported,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia,Not Reported,State Verified,1802,BR-RO,BRA,BRA
Polygon,555576288,555576288,1,Estação Ecológica Do Noroeste Paulista,Estação Ecológica Do Noroeste Paulista,Estação Ecológica,Ecological Station,National,Not Reported,Not Applicable,0,0,0,1.66469779788,1.67305968884021,Not Applicable,0,Designated,1993,Sub-national ministry or agency,Not Reported,"Instituto de Biociências, Letras e Ciências Exatas da UNESP - Câmpus São José do Rio Preto",Not Reported,State Verified,1802,BR-SP,BRA,BRA
Polygon,478480,478480,1,Apa Das Pontas De Copacabana E Arpoador E Seus Entornos,Apa Das Pontas De Copacabana E Arpoador E Seus Entornos,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,1,0,0.219203822194354,0.300934113464,0.302341618884599,Not Reported,0,Designated,1994,Sub-national ministry or agency,Not Reported,Secretaria Municipal de Meio Ambiente do Rio de Janeiro - RJ,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,478443,478443,1,Parque Natural Municipal Chico Mendes,Parque Natural Municipal Chico Mendes,Parque,Park,National,II,Not Applicable,0,0,0.438569809734198,0.436530664594,0.438569809734198,Not Applicable,0,Designated,1989,Sub-national ministry or agency,Not Reported,Secretaria Municipal de Meio Ambiente do Rio de Janeiro - RJ,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,19437,19437,1,Estação Ecológica De Itirapina,Estação Ecológica De Itirapina,Estação Ecológica,Ecological Station,National,Ia,Not Applicable,0,0,0,22.0570724873,22.163100492527,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Instituto Florestal da Secretaria do Meio Ambiente do Estado de São Paulo - SP,Not Reported,State Verified,1802,BR-SP,BRA,BRA
Polygon,555576289,555576289,1,Parque Estadual Cerca Grande,Parque Estadual Cerca Grande,Parque,Park,National,Not Reported,Not Applicable,0,0,0,1.34231999822,1.34933600060445,Not Applicable,0,Designated,2010,Sub-national ministry or agency,Not Reported,Instituto Estadual de Florestas de Minas Gerais,Not Reported,State Verified,1802,BR-MG,BRA,BRA
Polygon,555576291,555576291,1,Reserva Particular Do Patrimônio Natural Engelhardt,Reserva Particular Do Patrimônio Natural Engelhardt,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,0,0,0,3.9292182859,3.95110686909098,Not Applicable,0,Designated,2011,Sub-national ministry or agency,Not Reported,Secretaria do Meio Ambiente da Bahia,Not Reported,State Verified,1802,BR-BA,BRA,BRA
Polygon,555576292,555576292,1,Parque Natural Municipal Do Curió,Parque Natural Municipal Do Curió,Parque,Park,National,Not Reported,Not Applicable,0,0,0,9.14287264609,9.18632094942617,Not Applicable,0,Designated,2002,Sub-national ministry or agency,Not Reported,Secretaria Municipal de Meio Ambiente e Desenvolvimento Sustentável de Paracambi - RJ,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,33569,33569,1,Área De Proteção Ambiental De Algodoal-Maiandeua,Área De Proteção Ambiental De Algodoal-Maiandeua,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,1.93943678911903,24.5784323576,24.7438660600816,Not Applicable,0,Designated,1990,Sub-national ministry or agency,Not Reported,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará,Not Reported,State Verified,1802,BR-PA,BRA,BRA
Polygon,352151,352151,1,Reserva Extrativista Do Guariba,Reserva Extrativista Do Guariba,Reserva Extrativista,Extractive Reserve,National,VI,Not Applicable,0,0,0,1480.69584239,1490.32232877102,Not Applicable,0,Designated,2005,Sub-national ministry or agency,Not Reported,Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável do Amazonas,Not Reported,State Verified,1802,BR-AM,BRA,BRA
Polygon,351936,351936,1,Estação Ecológica De Acauã,Estação Ecológica De Acauã,Estação Ecológica,Ecological Station,National,Ia,Not Applicable,0,0,64.9107106039894,64.5517461851,64.9107106039894,Not Applicable,0,Designated,1974,Sub-national ministry or agency,Not Reported,Instituto Estadual de Florestas de Minas Gerais,Not Reported,State Verified,1802,BR-MG,BRA,BRA
Polygon,555576305,555576305,1,Reserva Particular Do Patrimônio Natural Passos,Reserva Particular Do Patrimônio Natural Passos,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,0,0,0.0820582338841512,0.0816383899257,0.0820582338841512,Not Applicable,0,Designated,2011,Sub-national ministry or agency,Not Reported,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo,Not Reported,State Verified,1802,BR-ES,BRA,BRA
